Pokemon,Score,Type 1,Type 2
Gliscor (Shadow),85.2,ground,flying
Lucario,85.2,fighting,steel
Escavalier,85.1,bug,steel
Shiftry,85.1,grass,dark
Sirfetchd,85.1,fighting,none
Venusaur (Shadow),85.1,grass,poison
Ferrothorn,85,grass,steel
Suicune,84.8,water,none
Alomomola,84.7,water,none
Magnezone (Shadow),84.6,electric,steel
Whimsicott,84.6,grass,fairy
Cradily,84.5,rock,grass
Cradily,84.5,rock,grass
Bellossom,84.4,grass,none
Machoke (Shadow),84.4,fighting,none
Dragonite (Shadow),84.3,dragon,flying
Machoke,84.3,fighting,none
Perrserker,84.3,steel,none
Lapras (Shadow),84.1,water,ice
Empoleon,84,water,steel
Sealeo (Shadow),84,ice,water
Marowak (Alolan),83.9,fire,ghost
Toxicroak,83.9,poison,fighting
Zangoose,83.9,normal,none
Forretress,83.8,bug,steel
Lapras,83.8,water,ice
Raikou,83.8,electric,none
Dragonair (Shadow),83.6,dragon,none
Jumpluff (Shadow),83.6,grass,flying
Blastoise,83.5,water,none
Ninetales (Shadow),83.5,fire,none
Castform (Sunny),83.4,fire,none
Flygon,83.4,ground,dragon
Heracross,83.4,bug,fighting
Jumpluff,83.4,grass,flying
Hypno,83.3,psychic,none
Magnezone,83.3,electric,steel
Marshtomp (Shadow),83.3,water,ground
Sceptile,83.3,grass,none
Bellossom (Shadow),83.2,grass,none
Lickitung,83.2,normal,none
Sableye (Shadow),83.2,dark,ghost
Hitmonchan (Shadow),83.1,fighting,none
Regice,83.1,ice,none
Melmetal,83,steel,none
Electivire (Shadow),82.9,electric,none
Hitmonchan,82.8,fighting,none
Stunfisk,82.8,ground,electric
Munchlax,82.6,normal,none
Quilladin,82.6,grass,none
Beedrill (Shadow),82.5,bug,poison
Blaziken,82.5,fire,fighting
Blaziken,82.5,fire,fighting
Muk (Alolan),82.5,poison,dark
Noctowl,82.3,normal,flying
Dragonair,82.2,dragon,none
Dragonite,82.2,dragon,flying
Lickilicky,82.1,normal,none
Golbat (Shadow),82,poison,flying
Ninetales,82,fire,none
Cradily (Shadow),81.9,rock,grass
Cradily (Shadow),81.9,rock,grass
Pinsir (Shadow),81.9,bug,none
Sealeo,81.9,ice,water
Articuno,81.8,ice,flying
Blastoise (Shadow),81.8,water,none
Poliwrath,81.8,water,fighting
Gyarados (Shadow),81.7,water,flying
Lugia,81.7,psychic,flying
Quagsire (Shadow),81.7,water,ground
Quagsire (Shadow),81.7,water,ground
Tangrowth,81.7,grass,none
Togekiss,81.7,fairy,flying
Zebstrika,81.5,electric,none
Marshtomp,81.3,water,ground
Charizard,81.2,fire,flying
Granbull,81,fairy,none
Ivysaur,81,grass,poison
Suicune (Shadow),81,water,none
Charizard (Shadow),80.9,fire,flying
Electivire,80.9,electric,none
Gengar,80.9,ghost,poison
Linoone,80.8,normal,none
Castform,80.7,normal,none
Haunter,80.7,ghost,poison
Steelix,80.7,steel,ground
Excadrill,80.6,ground,steel
Milotic,80.6,water,none
Beedrill,80.5,bug,poison
Pinsir,80.5,bug,none
Vaporeon,80.5,water,none
Cherrim (Sunshine),80.4,grass,none
Gyarados,80.4,water,flying
Farfetchd (Galarian),80.3,fighting,none
Gardevoir,80.3,psychic,fairy
Serperior,80.3,grass,none
Gastrodon (East),80.1,water,ground
Gastrodon (West),80.1,water,ground
Raichu,80.1,electric,none
Forretress (Shadow),80,bug,steel
Golbat,80,poison,flying
Gligar,79.9,ground,flying
Raichu (Alolan),79.9,electric,psychic
Skuntank,79.9,poison,dark
Grotle (Shadow),79.8,grass,none
Gligar (Shadow),79.6,ground,flying
Honchkrow,79.5,dark,flying
Skuntank (Shadow),79.5,poison,dark
Ivysaur (Shadow),79.4,grass,poison
Magmar (Shadow),79.4,fire,none
Sandslash (Alolan),79.3,ice,steel
Sudowoodo,79.3,rock,none
Servine,79.2,grass,none
Articuno (Shadow),79.1,ice,flying
Ludicolo,79,water,grass
Gallade,78.9,psychic,fighting
Gloom (Shadow),78.9,grass,poison
Magmortar (Shadow),78.7,fire,none
Latios,78.6,dragon,psychic
Feraligatr,78.5,water,none
Gallade (Shadow),78.5,psychic,fighting
Grotle,78.5,grass,none
Grovyle,78.5,grass,none
Sandshrew (Alolan XL),78.3,ice,steel
Shelgon,78.3,dragon,none
Dusclops (Shadow),78.2,ghost,none
Prinplup,78.2,water,none
Relicanth,78.1,water,rock
Victreebel (Shadow),78.1,grass,poison
Vespiquen,77.9,bug,flying
Hypno (Shadow),77.8,psychic,none
Probopass,77.8,rock,steel
Typhlosion,77.7,fire,none
Roserade,77.6,grass,poison
Wailord,77.6,water,none
Pidgeot,77.5,normal,flying
Crustle,77.4,bug,rock
Piloswine,77.4,ice,ground
Seaking,77.4,water,none
Vileplume (Shadow),77.4,grass,poison
Bibarel,77.3,normal,water
Glalie,77.3,ice,none
Ho-Oh,77.3,fire,flying
Magneton (Shadow),77.3,electric,steel
Electabuzz (Shadow),77.2,electric,none
Golem (Alolan),77.2,rock,electric
Jirachi,77.2,steel,psychic
Linoone (Galarian),77.2,dark,normal
Probopass (Shadow),77,rock,steel
Torterra (Shadow),76.9,grass,ground
Torterra (Shadow),76.9,grass,ground
Leavanny,76.8,bug,grass
Mawile (Shadow),76.8,steel,fairy
Carnivine,76.7,grass,none
Dusclops,76.7,ghost,none
Emolga,76.7,electric,flying
Talonflame,76.7,fire,flying
Haxorus,76.6,dragon,none
Genesect,76.5,bug,steel
Graveler (Alolan),76.5,rock,electric
Graveler (Alolan),76.5,rock,electric
Ampharos,76.4,electric,none
Wormadam (Trash),76.4,bug,steel
Electrode,76.2,electric,none
Muk (Shadow),76.2,poison,none
Swalot,76.2,poison,none
Gloom,76.1,grass,poison
Minun,76.1,electric,none
Seismitoad,76.1,water,ground
Mawile,76,steel,fairy
Rapidash (Galarian),76,psychic,fairy
Victini,76,psychic,fire
Vileplume,76,grass,poison
Wailmer,76,water,none
Bayleef,75.8,grass,none
Kingdra,75.8,water,dragon
Litleo (XL),75.8,fire,normal
Pachirisu,75.8,electric,none
Scizor (Shadow),75.8,bug,steel
Conkeldurr,75.7,fighting,none
Conkeldurr,75.7,fighting,none
Golduck (Shadow),75.7,water,none
Wobbuffet,75.7,psychic,none
Charmeleon (Shadow),75.6,fire,none
Dugtrio,75.5,ground,none
Dugtrio,75.5,ground,none
Magneton,75.3,electric,steel
Omastar (Shadow),75.3,rock,water
Raticate (Alolan),75.3,dark,normal
Muk,75.2,poison,none
Victreebel,75.2,grass,poison
Scolipede,75.1,bug,poison
Bronzong,75,steel,psychic
Magmortar,75,fire,none
Piloswine (Shadow),75,ice,ground
Spiritomb,75,ghost,dark
Ampharos (Shadow),74.9,electric,none
Croconaw,74.9,water,none
Dewott,74.9,water,none
Houndoom (Shadow),74.8,dark,fire
Tirtouga,74.8,water,rock
Mewtwo (Shadow),74.7,psychic,none
Infernape,74.5,fire,fighting
Drapion,74.3,poison,dark
Tangela,74.3,grass,none
Alakazam,74.2,psychic,none
Crawdaunt,74.2,water,dark
Luxray,74.1,electric,none
Scizor,74.1,bug,steel
Charmeleon,74,fire,none
Electabuzz,74,electric,none
Golduck,74,water,none
Huntail,74,water,none
Luxio,74,electric,none
Torkoal,74,fire,none
Marowak,73.8,ground,none
Uxie,73.8,psychic,none
Carracosta,73.6,water,rock
Kingler,73.6,water,none
Simisage,73.5,grass,none
Torterra,73.5,grass,ground
Torterra,73.5,grass,ground
Bisharp,73.4,dark,steel
Grimer (Alolan),73.4,poison,dark
Moltres,73.4,fire,flying
Manectric,73.3,electric,none
Cloyster,73.2,water,ice
Arcanine (Shadow),73.1,fire,none
Leafeon,73,grass,none
Alakazam (Shadow),72.9,psychic,none
Qwilfish,72.9,water,poison
Venomoth (Shadow),72.9,bug,poison
Banette,72.8,ghost,none
Durant,72.8,bug,steel
Durant,72.8,bug,steel
Krookodile,72.8,ground,dark
Venomoth,72.8,bug,poison
Bouffalant,72.7,normal,none
Amoonguss,72.6,grass,poison
Hippowdon,72.6,ground,none
Marowak (Shadow),72.6,ground,none
Arcanine,72.5,fire,none
Mamoswine (Shadow),72.5,ice,ground
Moltres (Shadow),72.5,fire,flying
Entei,72.4,fire,none
Greninja,72.4,water,dark
Vullaby,72.4,dark,flying
Gurdurr,72.3,fighting,none
Gurdurr,72.3,fighting,none
Entei (Shadow),72.2,fire,none
Houndoom,72.2,dark,fire
Magmar,72.2,fire,none
Mamoswine,72.1,ice,ground
Rapidash,72.1,fire,none
Seviper,72.1,poison,none
Dunsparce,71.9,normal,none
Shelgon (Shadow),71.9,dragon,none
Swellow,71.9,normal,flying
Aggron (Shadow),71.8,steel,rock
Aggron (Shadow),71.8,steel,rock
Hydreigon,71.8,dark,dragon
Klang,71.8,steel,none
Chansey,71.7,normal,none
Cloyster (Shadow),71.7,water,ice
Latias,71.7,dragon,psychic
Fletchinder,71.6,fire,flying
Nidoqueen,71.6,poison,ground
Nidoqueen,71.6,poison,ground
Scyther (Shadow),71.6,bug,flying
Simipour,71.6,water,none
Breloom,71.5,grass,fighting
Combusken,71.4,fire,fighting
Darmanitan (Standard),71.4,fire,none
Golurk,71.4,ground,ghost
Ariados,71.3,bug,poison
Banette (Shadow),71.3,ghost,none
Klinklang,71.3,steel,none
Monferno,71.3,fire,fighting
Porygon2,71.3,normal,none
Ursaring,71.3,normal,none
Chandelure,71.2,ghost,fire
Lumineon,71.2,water,none
Beartic,71.1,ice,none
Tentacruel,71.1,water,poison
Aggron,71,steel,rock
Aggron,71,steel,rock
Ponyta,71,fire,none
Quilava,71,fire,none
Staraptor,71,normal,flying
Rufflet,70.9,normal,flying
Cryogonal,70.8,ice,none
Heatmor,70.8,fire,none
Claydol,70.7,ground,psychic
Kricketune,70.6,bug,none
Braixen,70.5,fire,none
Celebi,70.5,psychic,grass
Ninjask,70.5,bug,flying
Porygon2 (Shadow),70.5,normal,none
Purugly,70.5,normal,none
Rotom (Wash),70.3,electric,water
Grimer (Shadow),70.2,poison,none
Litleo,70.2,fire,normal
Plusle,70.1,electric,none
Weepinbell (Shadow),70.1,grass,poison
Basculin,69.9,water,none
Graveler,69.9,rock,ground
Kangaskhan,69.9,normal,none
Magcargo,69.9,fire,rock
Magcargo,69.9,fire,rock
Wartortle,69.9,water,none
Weavile,69.9,dark,ice
Exeggutor (Alolan),69.8,grass,dragon
Pyroar,69.8,fire,normal
Sandshrew (Alolan),69.8,ice,steel
Ursaring (Shadow),69.8,normal,none
Palpitoad,69.7,water,ground
Weavile (Shadow),69.7,dark,ice
Magnemite (Shadow),69.6,electric,steel
Gothitelle,69.4,psychic,none
Pawniard,69.4,dark,steel
Pignite,69.4,fire,fighting
Jolteon,69.3,electric,none
Darumaka,69.2,fire,none
Gigalith,69.2,rock,none
Mightyena,69.2,dark,none
Omastar,69.2,rock,water
Grimer,69.1,poison,none
Masquerain,69.1,bug,flying
Scyther,69.1,bug,flying
Weezing,69.1,poison,none
Murkrow,69,dark,flying
Kabutops,68.9,rock,water
Kabutops,68.9,rock,water
Sharpedo (Shadow),68.9,water,dark
Emboar,68.8,fire,fighting
Glaceon,68.8,ice,none
Sunflora,68.8,grass,none
Lairon,68.7,steel,rock
Omanyte (Shadow),68.7,rock,water
Delcatty,68.6,normal,none
Ledian,68.5,bug,flying
Drifloon,68.4,ghost,flying
Slowbro,68.4,water,psychic
Weepinbell,68.4,grass,poison
Braviary,68.3,normal,flying
Lairon (Shadow),68.3,steel,rock
Delphox,68.2,fire,psychic
Slowking,68.2,water,psychic
Aerodactyl (Shadow),68.1,rock,flying
Simisear,68.1,fire,none
Parasect,68,bug,grass
Wormadam (Plant),68,bug,grass
Magnemite,67.9,electric,steel
Poliwhirl,67.9,water,none
Tyranitar (Shadow),67.9,rock,dark
Tyranitar (Shadow),67.9,rock,dark
Bonsly,67.8,rock,none
Chimecho,67.7,psychic,none
Exeggutor,67.7,grass,psychic
Garchomp,67.7,dragon,ground
Nidoqueen (Shadow),67.7,poison,ground
Nidoqueen (Shadow),67.7,poison,ground
Sneasel,67.7,dark,ice
Wormadam (Sandy),67.7,bug,ground
Exeggutor (Shadow),67.6,grass,psychic
Nidorino (Shadow),67.6,poison,none
Frogadier,67.5,water,none
Garbodor,67.5,poison,none
Lilligant,67.5,grass,none
Donphan,67.3,ground,none
Cinccino,67.2,normal,none
Mr. Rime,67.2,ice,psychic
Oddish (Shadow),67.2,grass,poison
Furret,67.1,normal,none
Slowbro (Shadow),67.1,water,psychic
Crobat,67,poison,flying
Fraxure,67,dragon,none
Gabite,67,dragon,ground
Mismagius,67,ghost,none
Sneasel (Shadow),66.9,dark,ice
Turtwig (Shadow),66.9,grass,none
Weezing (Shadow),66.9,poison,none
Corsola,66.8,water,rock
Farfetch'd,66.8,normal,flying
Misdreavus (Shadow),66.8,ghost,none
Persian (Alolan),66.8,dark,none
Rhydon,66.7,ground,rock
Rhydon,66.7,ground,rock
Slowking (Shadow),66.7,water,psychic
Walrein (Shadow),66.7,ice,water
Yanmega,66.7,bug,flying
Maractus,66.6,grass,none
Rhyperior,66.6,ground,rock
Sandslash,66.6,ground,none
Scraggy,66.6,dark,fighting
Tyranitar,66.6,rock,dark
Tyranitar,66.6,rock,dark
Sharpedo,66.5,water,dark
Dusknoir,66.4,ghost,none
Tranquill,66.4,normal,flying
Golem,66.2,rock,ground
Golem,66.2,rock,ground
Nidorino,66.2,poison,none
Metagross,66.1,steel,psychic
Metang,66.1,steel,psychic
Poliwhirl (Shadow),66.1,water,none
Gothorita,65.9,psychic,none
Growlithe (Shadow),65.8,fire,none
Machop,65.8,fighting,none
Lampent,65.7,ghost,fire
Machop (Shadow),65.6,fighting,none
Stoutland,65.6,normal,none
Togetic,65.6,fairy,flying
Wartortle (Shadow),65.5,water,none
Archen,65.4,rock,flying
Dugtrio (Alolan),65.4,ground,steel
Dusknoir (Shadow),65.4,ghost,none
Wobbuffet (Shadow),65.4,psychic,none
Boldore,65.3,rock,none
Lileep,65.3,rock,grass
Meowstic (Female),65.3,psychic,none
Nidoking,65.3,poison,ground
Nuzleaf (Shadow),65.3,grass,dark
Rhyhorn,65.3,ground,rock
Vanillish,65.3,ice,none
Archeops,65.1,rock,flying
Unfezant,65.1,normal,flying
Metagross (Shadow),65,steel,psychic
Armaldo,64.7,rock,bug
Meowstic (Male),64.7,psychic,none
Misdreavus,64.7,ghost,none
Growlithe,64.6,fire,none
Rayquaza,64.6,dragon,flying
Aerodactyl,64.5,rock,flying
Blissey,64.5,normal,none
Metang (Shadow),64.5,steel,psychic
Walrein,64.5,ice,water
Chinchou,64.4,water,electric
Crobat (Shadow),64.3,poison,flying
Mr. Mime (Galarian),64.3,ice,psychic
Nuzleaf,64.3,grass,dark
Omanyte,64.3,rock,water
Swoobat,64.2,psychic,flying
Mismagius (Shadow),63.9,ghost,none
Geodude (Alolan),63.8,rock,electric
Lileep (Shadow),63.7,rock,grass
Persian,63.5,normal,none
Samurott,63.5,water,none
Camerupt,63.4,fire,ground
Liepard,63.4,dark,none
Nidoking (Shadow),63.4,poison,ground
Persian (Shadow),63.4,normal,none
Porygon,63.4,normal,none
Miltank,63.3,normal,none
Turtwig,63.2,grass,none
Arbok,63,poison,none
Nidorina (Shadow),62.9,poison,none
Mantyke,62.7,water,flying
Magby,62.6,fire,none
Nidorina,62.6,poison,none
Oddish,62.6,grass,poison
Grumpig,62.5,psychic,none
Yanma,62.5,bug,flying
Darumaka (Galarian),62.3,ice,none
Dodrio,62.3,normal,flying
Mothim,62.1,bug,flying
Dugtrio (Shadow),62,ground,none
Dugtrio (Shadow),62,ground,none
Exploud,62,normal,none
Sawk,62,fighting,none
Xatu,62,psychic,flying
Darmanitan (Galarian),61.9,ice,none
Mr. Mime,61.9,psychic,fairy
Slowpoke,61.8,water,psychic
Lunatone,61.6,rock,psychic
Solrock,61.6,rock,psychic
Floatzel,61.5,water,none
Sandslash (Shadow),61.4,ground,none
Arbok (Shadow),61.3,poison,none
Porygon-Z,61.3,normal,none
Smoochum,61.3,ice,psychic
Swanna,61.2,water,flying
Snover,61,grass,ice
Dwebble,60.9,bug,rock
Dustox,60.8,bug,poison
Noivern,60.8,flying,dragon
Porygon-Z (Shadow),60.8,normal,none
Lombre,60.7,water,grass
Staravia,60.7,normal,flying
Fearow,60.6,normal,flying
Girafarig,60.6,normal,psychic
Absol,60.4,dark,none
Sawsbuck,60.4,normal,grass
Clamperl,60.3,water,none
Rampardos,60.3,rock,none
Sigilyph,60.1,psychic,flying
Slowpoke (Shadow),59.9,water,psychic
Beheeyem,59.7,psychic,none
Golett,59.6,ground,ghost
Klefki,59.5,steel,fairy
Roselia,59.5,grass,poison
Jynx,59.2,ice,psychic
Spinda,59.1,normal,none
Ambipom,59,normal,none
Illumise,59,bug,none
Musharna,58.9,psychic,none
Volbeat,58.8,bug,none
Pupitar (Shadow),58.7,rock,ground
Teddiursa (Shadow),58.5,normal,none
Beautifly,58.4,bug,flying
Krokorok,58.2,ground,dark
Octillery,58.2,water,none
Snover (Shadow),58.2,grass,ice
Raticate,58.1,normal,none
Flaaffy,58,electric,none
Mesprit,58,psychic,none
Roggenrola,58,rock,none
Roggenrola,58,rock,none
Starmie,58,water,psychic
Watchog,58,normal,none
Hippopotas,57.9,ground,none
Throh,57.8,fighting,none
Sandshrew (Shadow),57.7,ground,none
Onix,57.6,rock,ground
Onix,57.6,rock,ground
Absol (Shadow),57.5,dark,none
Exeggcute,57.5,grass,psychic
Teddiursa,57.5,normal,none
Flaaffy (Shadow),57.4,electric,none
Runerigus,57.4,ground,ghost
Cacturne,57.1,grass,dark
Exeggcute (Shadow),57.1,grass,psychic
Pupitar,57.1,rock,ground
Frillish,57,water,ghost
Espurr,56.8,psychic,none
Vibrava (Shadow),56.8,ground,dragon
Chatot,56.6,normal,flying
Gorebyss,56.5,water,none
Cacturne (Shadow),56.1,grass,dark
Cofagrigus,55.9,ghost,none
Geodude,55.8,rock,ground
Whirlipede,55.8,bug,poison
Flareon,55.7,fire,none
Shellos (East),55.7,water,none
Shellos (West),55.7,water,none
Drilbur,55.5,ground,none
Cherrim (Overcast),55.3,grass,none
Herdier,55,normal,none
Sandshrew,54.9,ground,none
Vibrava,54.2,ground,dragon
Aipom,54.1,normal,none
Aron (Shadow),54.1,steel,rock
Butterfree,54,bug,flying
Seadra,54,water,none
Aron,53.9,steel,rock
Azelf,53.9,psychic,none
Audino,53.7,normal,none
Vanilluxe,53.7,ice,none
Krabby,53.6,water,none
Espeon,53.5,psychic,none
Elgyem,53.4,psychic,none
Loudred,53.2,normal,none
Pidgeotto,53.1,normal,flying
Salamence,53.1,dragon,flying
Deoxys (Speed),52.8,psychic,none
Weezing (Galarian),52.4,poison,fairy
Cubone (Shadow),52.1,ground,none
Hitmonlee (Shadow),52.1,fighting,none
Hitmonlee (Shadow),52.1,fighting,none
Raticate (Shadow),52,normal,none
Cubone,51.6,ground,none
Nosepass,51.6,rock,none
Drowzee,51.1,psychic,none
Nosepass (Shadow),51.1,rock,none
Salamence (Shadow),51,dragon,flying
Pineco (Shadow),50.6,bug,none
Kabuto,50.5,rock,water
Accelgor,50.3,bug,none
Drowzee (Shadow),49.9,psychic,none
Snubbull,49.9,fairy,none
Porygon (Shadow),49.7,normal,none
Kadabra,49.5,psychic,none
Tauros,49.4,normal,none
Hitmonlee,49.2,fighting,none
Hitmonlee,49.2,fighting,none
Ponyta (Galarian),49.2,psychic,none
Axew,49,dragon,none
Anorith,48.8,rock,bug
Stantler (Shadow),48.4,normal,none
Koffing,48.3,poison,none
Buneary,47.9,normal,none
Stantler,47.6,normal,none
Pineco,47,bug,none
Reuniclus,46.9,psychic,none
Kadabra (Shadow),46.7,psychic,none
Koffing (Shadow),46.7,poison,none
Phanpy,46.7,ground,none
Lopunny,46.1,normal,none
Duosion,45.7,psychic,none
Timburr,43.1,fighting,none
Solosis,41.3,psychic,none
Deerling,40.2,normal,grass
Munna,39.3,psychic,none
Spoink,37.7,psychic,none
Clefairy,36.4,fairy,none
Slaking,28.3,normal,none
Cranidos,21.8,rock,none
